,img,colormap,dataset,arquitetura_cnn
CWT,FaceFour,binary,0.159090906381607,vgg16_tf
CWT,FaceFour,binary,0.2954545319080353,vgg16_tf
CWT,BirdChicken,binary,0.5,vgg16_tf
CWT,ProximalPhalanxTW,binary,0.35121950507164,vgg16_tf
CWT,CinCECGTorso,binary,0.2478260844945907,vgg16_tf
CWT,Beef,binary,0.2000000029802322,vgg16_tf
CWT,EthanolLevel,binary,0.2479999959468841,vgg16_tf
CWT,MoteStrain,binary,0.4608626067638397,vgg16_tf
CWT,GestureMidAirD1,binary,0.0384615398943424,vgg16_tf
CWT,OliveOil,binary,0.4000000059604645,vgg16_tf
CWT,ProximalPhalanxOutlineAgeGroup,binary,0.4292683005332947,vgg16_tf
CWT,SemgHandGenderCh2,binary,0.3499999940395355,vgg16_tf
CWT,Plane,binary,0.095238097012043,vgg16_tf
CWT,AllGestureWiimoteZ,binary,0.1000000014901161,vgg16_tf
CWT,ItalyPowerDemand,binary,0.5014577507972717,vgg16_tf
CWT,Car,binary,0.233333334326744,vgg16_tf
CWT,Haptics,binary,0.18831168115139,vgg16_tf
CWT,DistalPhalanxOutlineAgeGroup,binary,0.4676258862018585,vgg16_tf
CWT,Strawberry,binary,0.6432432532310486,vgg16_tf
CWT,ECG200,binary,1.0,vgg16_tf
CWT,FiftyWords,binary,0.1252747327089309,vgg16_tf
CWT,AllGestureWiimoteY,binary,0.1000000014901161,vgg16_tf
CWT,GestureMidAirD3,binary,0.0384615398943424,vgg16_tf
CWT,Ham,binary,0.5142857432365417,vgg16_tf
CWT,SwedishLeaf,binary,0.0527999997138977,vgg16_tf
CWT,DodgerLoopDay,binary,0.1500000059604644,vgg16_tf
CWT,PigCVP,binary,0.0192307699471712,vgg16_tf
CWT,ShakeGestureWiimoteZ,binary,0.1000000014901161,vgg16_tf
CWT,MiddlePhalanxOutlineCorrect,binary,0.5704467296600342,vgg16_tf
CWT,DistalPhalanxTW,binary,0.3021582663059234,vgg16_tf
CWT,WordSynonyms,binary,0.2194357365369796,vgg16_tf
CWT,TwoLeadECG,binary,0.5004389882087708,vgg16_tf
CWT,SemgHandSubjectCh2,binary,0.2000000029802322,vgg16_tf
CWT,BME,binary,0.3333333432674408,vgg16_tf
CWT,MiddlePhalanxOutlineAgeGroup,binary,0.18831168115139,vgg16_tf
CWT,Trace,binary,0.1899999976158142,vgg16_tf
CWT,InlineSkate,binary,0.1636363565921783,vgg16_tf
CWT,Symbols,binary,0.1738693416118621,vgg16_tf
CWT,GestureMidAirD2,binary,0.0384615398943424,vgg16_tf
CWT,SonyAIBORobotSurface2,binary,0.6169989705085754,vgg16_tf
CWT,Earthquakes,binary,0.7482014298439026,vgg16_tf
CWT,ProximalPhalanxOutlineCorrect,binary,0.6838487982749939,vgg16_tf
CWT,Rock,binary,0.1800000071525573,vgg16_tf
CWT,OSULeaf,binary,0.1900826394557953,vgg16_tf
CWT,ECGFiveDays,binary,0.4970963895320892,vgg16_tf
CWT,CricketX,binary,0.0666666701436042,vgg16_tf
CWT,ACSF1,binary,0.1000000014901161,vgg16_tf
CWT,Chinatown,binary,0.2740524709224701,vgg16_tf
CWT,CricketZ,binary,0.0615384615957737,vgg16_tf
CWT,ToeSegmentation2,binary,0.8153846263885498,vgg16_tf
CWT,PigAirwayPressure,binary,0.0192307699471712,vgg16_tf
CWT,Herring,binary,0.59375,vgg16_tf
CWT,PigArtPressure,binary,0.0192307699471712,vgg16_tf
CWT,PLAID,binary,0.1620111763477325,vgg16_tf
CWT,MiddlePhalanxTW,binary,0.2727272808551788,vgg16_tf
CWT,BeetleFly,binary,0.5,vgg16_tf
CWT,DistalPhalanxOutlineCorrect,binary,0.5833333134651184,vgg16_tf
CWT,EOGVerticalSignal,binary,0.0828729271888732,vgg16_tf
CWT,SmoothSubspace,binary,0.3333333432674408,vgg16_tf
CWT,SmallKitchenAppliances,binary,0.3333333432674408,vgg16_tf
CWT,GunPointMaleVersusFemale,binary,0.474683552980423,vgg16_tf
CWT,DodgerLoopWeekend,binary,0.739130437374115,vgg16_tf
CWT,Adiac,binary,0.020460357889533,vgg16_tf
